Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref237,cid4641802,Documents,Billheads,"Bamberger, Streng and Co. Louisville, KY, Billhead with lithograph of store",Billhead with lithograph of store,,,"Bamberger, Streng and Co.","Louisville, KY",1891 June 23,Drawer,Mixed materials,Billheads Post-1880,Folder,KY 233,doc_bhl_ky_233_1r.tif; doc_bhl_ky_233_1v.tif,,,,Billheads,
ref238,cid4641801,Documents,Billheads,"Bamberger, Streng and Co. Louisville, KY, Billhead with lithograph of store",Billhead with lithograph of store,,,"Bamberger, Streng and Co.","Louisville, KY",1890 May 20,Drawer,Mixed materials,Billheads Post-1880,Folder,KY 230,doc_bhl_ky_230_1r.tif; doc_bhl_ky_230_1v.tif,,,,Billheads,
ref239,cid4641800,Documents,Billheads,"Bamberger, Tichner and Co. Baker City, OR, ""The White House"". Bamberger, Tichner and Co","""The White House"". Bamberger, Tichner and Co",,,"Bamberger, Tichner and Co.","Baker City, OR",1888 December 31,Drawer,Mixed materials,Billheads Post-1880,Folder,OR 726,doc_bhl_or_726_1r.tif; doc_bhl_or_726_1v.tif,,,,Billheads,
ref240,cid4641799,Documents,Billheads,"Bartlett, I. Honolulu, HI, Billhead from I. Bartlett's family grocery and feed store",Billhead from I. Bartlett's family grocery and feed store,"Bartlett, I.",,,"Honolulu, HI",1868 November 23,Drawer,Mixed materials,Billheads Post-1880,Folder,HI 192,doc_bhl_hi_192_1r.tif; doc_bhl_hi_192_1v.tif,,,,Billheads,"Bartlett, I."
ref241,cid4641798,Documents,Billheads,"Baruch, A. and Brochfeld, B. Waco, TX",,"Baruch, A.","Brochfeld, B.",,"Waco, TX",1874 October 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,TX 3010,doc_bhe_tx_3010_1r.tif; doc_bhe_tx_3010_1v.tif,,,,Billheads,"Baruch, A."
ref242,cid4641797,Documents,Billheads,"Basinski, Julius. Bozeman, MT, Letterhead for transfer of funds",Letterhead for transfer of funds,"Basinski, Julius",,,"Bozeman, MT",1880 August 9,Folder,Mixed materials,Binder O,Page,18b,lbr_fo_s18b_1r.tif; lbr_fo_s18b_1v.tif,,,,Billheads,"Basinski, Julius"
ref243,cid4641796,Documents,Billheads,"Basinski, Julius. Bozeman, MT, Letterhead for transfer of funds",Letterhead for transfer of funds,"Basinski, Julius",,,"Bozeman, MT",1880 July 6,Folder,Mixed materials,Binder O,Page,18a,lbr_fo_s18a_1r.tif; lbr_fo_s18a_1v.tif,,,,Billheads,"Basinski, Julius"
ref244,cid4641795,Documents,Billheads,"Baum, Simon. San Francisco, CA, Bill for Simon Baum and Co., Mens' Furnishing Goods","Bill for Simon Baum and Co., Mens' Furnishing Goods","Baum, Simon",,,"San Francisco, CA",1873 February 15,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 837,doc_bhe_sf_837_1r.tif; doc_bhe_sf_837_1v.tif,,,,Billheads,"Baum, Simon"
ref245,cid4641794,Documents,Billheads,"Bauman, Ludwig. New York, NY",,"Bauman, Ludwig",,,"New York, NY",1904 October 18,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 461,doc_bhl_nyc_461_1r.tif; doc_bhl_nyc_461_1v.tif,,,,Billheads,"Bauman, Ludwig"
ref246,cid4641793,Documents,Billheads,"Bayersdorfer, Harry and Berkowitz, Paul. Philadelphia, PA, Bill for Bayersdorfer and Berkowitz, manufacturers and importers of florist's supplies. Signed by Harry Bayersdorfer","Bill for Bayersdorfer and Berkowitz, manufacturers and importers of florist's supplies. Signed by Harry Bayersdorfer","Bayersdorfer, Harry","Berkowitz, Paul",,"Philadelphia, PA",1898 December 31,Drawer,Mixed materials,Billheads Post-1880,Folder,PHIL 810,doc_bhl_phil_810_1r.tif; doc_bhl_phil_810_1v.tif,,,,Billheads,"Bayersdorfer, Harry"
ref247,cid4641792,Documents,Billheads,"Becker, Julius and Epstein. New York, NY, Invoice to R. Holliday",Invoice to R. Holliday,"Becker, Julius",Epstein,,"New York, NY",1881 November 29,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 419,doc_bhl_nyc_419_1r.tif; doc_bhl_nyc_419_1v,,,,Billheads,"Becker, Julius"
ref248,cid4641791,Documents,Billheads,"Behrman, D. New York, NY",,"Behrman, D.",,,"New York, NY",1846 April 24,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1069,doc_bhe_nyc_1069_1r.tif; doc_bhe_nyc_1069_1v.tif,,,,Billheads,"Behrman, D."
ref249,cid4641790,Documents,Billheads,"Belmont, August. New York, NY, Billhead for a securities trade",Billhead for a securities trade,"Belmont, August",,,"New York, NY",1857 May 2,Drawer,Mixed materials,Judaica Americana,Folder,NYC 755,doc_ja_nyc_755_1r.tif; doc_ja_nyc_755_1v.tif,,,,Billheads,"Belmont, August"
ref250,cid4641789,Documents,Billheads,"Benish and Meyer. Selma, AL, Bill for Benish and Meyer, Confectioners","Bill for Benish and Meyer, Confectioners",,,Benish and Meyer,"Selma, AL",1897 October 4,Drawer,Mixed materials,Billheads Post-1880,Folder,AL 16,doc_bhl_al_16_1r.tif; doc_bhl_al_16_1v.tif,,,,Billheads,
ref251,cid4641788,Documents,Billheads,"Benj. & E. Jacobs. Boston, MA, Bill for Benjamin and E. Jacobs: Family linen and house keeping establishment",Bill for Benjamin and E. Jacobs: Family linen and house keeping establishment,,,Benj. & E. Jacobs,"Boston, MA",1851 October 11,Folder,Mixed materials,Binder K,Page,25c,lbr_fk_s25c_1r.tif; lbr_fk_s25c_1v.tif,,,,Billheads,
ref252,cid4641787,Documents,Billheads,"Benjamin, E. Springfield, MA, Bill for E. Benjamin, dealer in foreign and domestic cigars. Has a picture of a man. Signed by E. Benjamin","Bill for E. Benjamin, dealer in foreign and domestic cigars. Has a picture of a man. Signed by E. Benjamin","Benjamin, E.",,,"Springfield, MA",1882 June 20,Folder,Mixed materials,Binder K,Page,4a,lbr_fk_s4a_1r.tif; lbr_fk_s4a_1v.tif,,,,Billheads,"Benjamin, E."
ref253,cid4641786,Documents,Billheads,"Berg, B. Eureka, NV, Bill for B. Berg: Choice family groceries and provisions",Bill for B. Berg: Choice family groceries and provisions,"Berg, B.",,,"Eureka, NV",1883 October 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,NB 978,doc_bhe_nb_978_1r.tif; doc_bhe_nb_978_1v.tif,,,,Billheads,"Berg, B."
ref254,cid4641785,Documents,Billheads,"Berg, B. Eureka, NV, Bill for B. Berg: Choice family groceries and provisions",Bill for B. Berg: Choice family groceries and provisions,"Berg, B.",,,"Eureka, NV",1886 December 25,Drawer,Mixed materials,Billheads Pre-1880,Folder,NB 973,doc_bhe_nb_973_1r.tif; doc_bhe_nb_973_1v.tif,,,,Billheads,"Berg, B."
ref255,cid4641784,Documents,Billheads,"Berger, H. Pittsburgh, PA, Bill for H. Berger, with good picture of furniture","Bill for H. Berger, with good picture of furniture","Berger, H.",,,"Pittsburgh, PA",1872 May 15,Drawer,Mixed materials,Billheads Pre-1880,Folder,PI 2077,doc_bhe_pi_2077_1r.tif; doc_bhe_pi_2077_1v.tif,,,,Billheads,"Berger, H."
ref256,cid4641783,Documents,Billheads,"Berliner & Brother. Baltimore, MD, Bill for Berliner and Brother, Baltimore: Ship and house furnishing goods","Bill for Berliner and Brother, Baltimore: Ship and house furnishing goods",,,Berliner & Brother,"Baltimore, MD",1882 January 9,Drawer,Mixed materials,Billheads Post-1880,Folder,MD 292,doc_bhl_md_292_1r.tif; doc_bhl_md_292_1v.tif,,,,Billheads,
ref257,cid4641782,Documents,Billheads,"Berman, B. and Epstein, M. Luling, TX, Bill for B. Berman: Dry goods, clothing, boots, shoes and furnishing goods. Signed by M. Epstein","Bill for B. Berman: Dry goods, clothing, boots, shoes and furnishing goods. Signed by M. Epstein","Berman, B.","Epstein, M.",,"Luling, TX",1894 October 15,Drawer,Mixed materials,Billheads Pre-1880,Folder,TX 2096,doc_bhe_tx_2096_1r.tif; doc_bhe_tx_2096_1v.tif,,,,Billheads,"Berman, B."
ref258,cid4641781,Documents,Billheads,"Berman, B. Luling, TX, Bill for B. Berman: Dry goods, clothing, boots, shoes and furnishing goods. Signed by Berman","Bill for B. Berman: Dry goods, clothing, boots, shoes and furnishing goods. Signed by Berman","Berman, B.",,,"Luling, TX",1892 February 5,Drawer,Mixed materials,Billheads Pre-1880,Folder,TX 2095,doc_bhe_tx_2095_1r.tif; doc_bhe_tx_2095_1v.tif,,,,Billheads,"Berman, B."
ref259,cid4641780,Documents,Billheads,"Bernstein and Lasker. New York, NY",,,,Bernstein and Lasker,"New York, NY",1877 February 26,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1013,doc_bhe_nyc_1013_1r.tif; doc_bhe_nyc_1013_1v.tif,,,,Billheads,
ref260,cid4641779,Documents,Billheads,"Bernstein, L. New York, NY",,"Bernstein, L.",,,"New York, NY",1873 August 26,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1066,doc_bhe_nyc_1066_1r.tif; doc_bhe_nyc_1066_1v.tif,,,,Billheads,"Bernstein, L."
ref261,cid4641778,Documents,Billheads,"Bertsch, Louis. New York, NY",,"Bertsch, Louis",,,"New York, NY",1892 November 16,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 454,doc_bhl_nyc_454_1r.tif; doc_bhl_nyc_454_1v.tif,,,,Billheads,"Bertsch, Louis"
ref262,cid4641777,Documents,Billheads,"Beskin, I. New York, NY",,"Beskin, I.",,,"New York, NY",1909 March 27,Folder,Mixed materials,Binder K,Page,56b,lbr_fk_s56b_1r.tif; lbr_fk_s56b_1v.tif,,,,Billheads,"Beskin, I."
ref263,cid4641776,Documents,Billheads,"Bierman and Heidelberg. New York, NY",,,,Bierman and Heidelberg,"New York, NY",1886 October 13,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 459,doc_bhl_nyc_459_1r.tif; doc_bhl_nyc_459_1v.tif,,,,Billheads,
ref264,cid4641775,Documents,Billheads,"Black, J. R. and Cohen, J .J. Rome, GA, Bill paid by the estate of J.J. Cohen",Bill paid by the estate of J.J. Cohen,"Black, J. R.","Cohen, J .J.",,"Rome, GA",1881,Drawer,Mixed materials,Billheads Pre-1880,Folder,CT 870,doc_bhe_ct_870_1r.tif; doc_bhe_ct_870_1v.tif,,,,Billheads,"Black, J. R."
ref265,cid4641774,Documents,Billheads,"Bloch, M. and Greenthal, Phil. Milwaukee, WI",,"Bloch, M.","Greenthal, Phil.",,"Milwaukee, WI",1890 April 10,Drawer,Mixed materials,Billheads Post-1880,Folder,WI 904,doc_bhl_wi_904_1r.tif; doc_bhl_wi_904_1v.tif,,,,Billheads,"Bloch, M."
ref266,cid4641773,Documents,Billheads,"Bloch. Philadelphia, PA, Bill for Bloch and Co., with print of an American flag and an invoice for a centennial banner","Bill for Bloch and Co., with print of an American flag and an invoice for a centennial banner",,,Bloch,"Philadelphia, PA",1876 February 9,Drawer,Mixed materials,Billheads Pre-1880,Folder,PH 2047,doc_bhe_ph_2047_1r.tif; doc_bhe_ph_2047_1v.tif,,,,Billheads,
ref267,cid4641772,Documents,Billheads,"Blochman, E. San Francisco, CA",,"Blochman, E.",,,"San Francisco, CA",1867 November 28,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 789,doc_bhe_sf_789_1r.tif; doc_bhe_sf_789_1v.tif,,,,Billheads,"Blochman, E."
ref268,cid4641771,Documents,Billheads,"Block and Erwin. Vanndale, AR, Bill for Block and Erwin: Dry goods, clothing, boots, shoes, hats and general plantation supplies","Bill for Block and Erwin: Dry goods, clothing, boots, shoes, hats and general plantation supplies",,,Block and Erwin,"Vanndale, AR",1887 May 1,Drawer,Mixed materials,Billheads Post-1880,Folder,AR 38,doc_bhl_ar_38_1r.tif; doc_bhl_ar_38_1v.tif,,,,Billheads,
ref269,cid4641770,Documents,Billheads,"Block and Salz. Keyport, NY, Bill for Block and Salz",Bill for Block and Salz,,,Block and Salz,"Keyport, NY",1871 June 30,Drawer,Mixed materials,Billheads Pre-1880,Folder,NJ 984,doc_bhe_nj_984_1r.tif; doc_bhe_nj_984_1v.tif,,,,Billheads,
ref270,cid4641769,Documents,Billheads,"Bloombargh, D. W. and Jacob, M. J. Brenham, TX, Bill for D. W. Bloombargh, dealer in staple and fancy dry goods. Signed by M.J. Jacob, as this invoice was involved in a law suit","Bill for D. W. Bloombargh, dealer in staple and fancy dry goods. Signed by M.J. Jacob, as this invoice was involved in a law suit","Bloombargh, D. W.","Jacob, M. J.",,"Brenham, TX",1879 October 17,Drawer,Mixed materials,Billheads Post-1880,Folder,TX 859,doc_bhl_tx_859_1r.tif; doc_bhl_tx_859_1r.tif_2.tif; doc_bhl_tx_859_1v.tif,,,,Billheads,"Bloombargh, D. W."
ref271,cid4641768,Documents,Billheads,"Bloomingdale Brothers. New York, NY",,,,Bloomingdale Brothers,"New York, NY",1890 July 24,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 458,doc_bhl_nyc_458_1r.tif; doc_bhl_nyc_458_1v.tif,,,,Billheads,
ref272,cid4641767,Documents,Billheads,"Bloomingdale Brothers. Philadelphia, PA",,,,Bloomingdale Brothers,"Philadelphia, PA",1870 October 25,Drawer,Mixed materials,Billheads Pre-1880,Folder,PH 2059,doc_bhe_ph_2059_1r.tif; doc_bhe_ph_2059_1v.tif,,,,Billheads,
ref273,cid4641766,Documents,Billheads,"Bloomingdale, E. W. New York, NY, Bill for Bloomingdale Brothers, for the sale of three chairs to the New York City 6th district court","Bill for Bloomingdale Brothers, for the sale of three chairs to the New York City 6th district court","Bloomingdale, E. W.",,,"New York, NY",1895 October 23,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 422-423,doc_bhl_nyc_422_1r.tif; doc_bhl_nyc_422_1v.tif; doc_bhl_nyc_423_1r.tif; doc_bhl_nyc_423_1v.tif,,,,Billheads,"Bloomingdale, E. W."
ref274,cid4641765,Documents,Billheads,"Blum, H. and Blum, Leon. Galveston, TX, Bill for Leon and H. Blum: Dealer in dry goods. Signed on the back by S. Blum, as part of an estate settlement","Bill for Leon and H. Blum: Dealer in dry goods. Signed on the back by S. Blum, as part of an estate settlement","Blum, H.","Blum, Leon",,"Galveston, TX",1880 November 22,Drawer,Mixed materials,Billheads Post-1880,Folder,TX 872,doc_bhl_tx_872_1r.tif; doc_bhl_tx_872_1v.tif,,,,Billheads,"Blum, H."
ref275,cid4641764,Documents,Billheads,"Blum, H. and Blum, Leon. Nitta Yuma, MS",,"Blum, H.","Blum, Leon",,"Nitta Yuma, MS",1891 February 6,Drawer,Mixed materials,Billheads Post-1880,Folder,MS 317,doc_bhl_ms_317_1r.tif; doc_bhl_ms_317_1v.tif,,,,Billheads,"Blum, H."
ref276,cid4641763,Documents,Billheads,"Blumauer and Rosenblatt. Portland, OR, Bill for Blumauer and Rosenblatt",Bill for Blumauer and Rosenblatt,,,Blumauer and Rosenblatt,"Portland, OR",1862 October 14,Drawer,Mixed materials,Billheads Pre-1880,Folder,OR 2020,doc_bhe_or_2020_1r.tif; doc_bhe_or_2020_1v.tif,,,,Billheads,
ref277,cid4641762,Documents,Billheads,"Blumenthal and Boas. New York, NY, Bill for B. Blumenthal, importers and commission merchants of fancy goods, small wares, cultlery, druggist sundries, and musical instruments","Bill for B. Blumenthal, importers and commission merchants of fancy goods, small wares, cultlery, druggist sundries, and musical instruments",,,Blumenthal and Boas,"New York, NY",1892 March 14,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 453,doc_bhl_nyc_453_1r.tif; doc_bhl_nyc_453_1v.tif,,,,Billheads,
ref278,cid4641761,Documents,Billheads,"Blumenthal and Cohn. Carson, NV, Bill from Blumenthal and Cohn Clothing Emporium",Bill from Blumenthal and Cohn Clothing Emporium,,,Blumenthal and Cohn,"Carson, NV",1885 September 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,NB 974,doc_bhe_nb_974_1r.tif; doc_bhe_nb_974_1v.tif,,,,Billheads,
ref279,cid4641760,Documents,Billheads,"Blumenthal, B. San Francisco, CA, Bill for B. Blumenthal, gloves and glove materials","Bill for B. Blumenthal, gloves and glove materials","Blumenthal, B.",,,"San Francisco, CA",1894 November 8,Drawer,Mixed materials,Billheads Post-1880,Folder,SF 89,doc_bhl_sf_89_1r.tif; doc_bhl_sf_89_1v.tif,,,,Billheads,"Blumenthal, B."
ref280,cid4641759,Documents,Billheads,"Blumenthal, M. San Rafael, CA",,"Blumenthal, M.",,,"San Rafael, CA",1894 July 3,Drawer,Mixed materials,Billheads Post-1880,Folder,CA 40,doc_bhl_ca_40_1r.tif; doc_bhl_ca_40_1v.tif,,,,Billheads,"Blumenthal, M."
ref281,cid4641758,Documents,Billheads,"Bottenstein. Urbana, OH, Bill for Bottenstein Co.: Skirts and Corsets",Bill for Bottenstein Co.: Skirts and Corsets,Bottenstein,,,"Urbana, OH",1868 August 21,Drawer,Mixed materials,Billheads Pre-1880,Folder,OH 2012,doc_bhe_oh_2012_1r.tif; doc_bhe_oh_2012_1v.tif,,,,Billheads,Bottenstein
ref282,cid4641757,Documents,Billheads,"Brafman, A. and Brafman, M. Baltimore, MD, Bill for A. Brafman and Son, manufacturing clothiers","Bill for A. Brafman and Son, manufacturing clothiers","Brafman, A.","Brafman, M.",,"Baltimore, MD",1887 August 19,Drawer,Mixed materials,Billheads Post-1880,Folder,MD 296,doc_bhl_md_296_1r.tif; doc_bhl_md_296_1v.tif,,,,Billheads,"Brafman, A."
ref283,cid4641756,Documents,Billheads,"Braverman and Levy. San Francisco, CA, Bill for Braverman and Levy, watchmakers and jewelers","Bill for Braverman and Levy, watchmakers and jewelers",,,Braverman and Levy,"San Francisco, CA",1877 August 29,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 774,doc_bhe_sf_774_1r.tif; doc_bhe_sf_774_1v.tif,,,,Billheads,
ref284,cid4641755,Documents,Billheads,"Brinkerhoff, Aaron. New York, NY",,"Brinkerhoff, Aaron",,,"New York, NY",1865 April 5,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1072,doc_bhe_nyc_1072_1r.tif; doc_bhe_nyc_1072_1v.tif,,,,Billheads,"Brinkerhoff, Aaron"
ref285,cid4641754,Documents,Billheads,"Bunn & Raiguel. Philadelphia, PA, Purchase by Stellers",Purchase by Stellers,,,Bunn & Raiguel,"Philadelphia, PA",1850 April 17,Drawer,Mixed materials,Billhead Pre-1880,Folder,PH 2046,doc_bhe_ph_2046_1r.tif; doc_bhe_ph_2046_1v.tif,,,,Billheads,
ref286,cid4641753,Documents,Billheads,"Burditt Bros. Rutland, VT, Bill for A.D. Kilburn",Bill for A.D. Kilburn,,,Burditt Bros.,"Rutland, VT",1901 December 6,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 432,doc_bhl_nyc_432_1r.tif; doc_bhl_nyc_432_1v.tif,,,,Billheads,
ref287,cid4641752,Documents,Billheads,"Burger and Brenner. Pittsfield, IL, Bill for Burger and Brenner, manufacturers and wholesale dealers in cigars","Bill for Burger and Brenner, manufacturers and wholesale dealers in cigars",,,Burger and Brenner,"Pittsfield, IL",1875 March 15,Folder,Mixed materials,Binder K,Page,14a,lbr_fk_s14a_1r.tif; lbr_fk_s14a_1v.tif,,,,Billheads,
ref288,cid4641751,Documents,Billheads,"Bush, Isidor and Bush, Raphael. St. Louis, MO, Bill for I. Bush, with lithograph of store","Bill for I. Bush, with lithograph of store","Bush, Isidor","Bush, Raphael",,"St. Louis, MO",1874 February 4,Drawer,Mixed materials,Billheads Pre-1880,Folder,MO 946,doc_bhe_mo_946_1r.tif; doc_bhe_mo_946_1v.tif,,,,Billheads,"Bush, Isidor"
ref289,cid4641750,Documents,Billheads,"Bush, Isidor. St. Louis, MO, Bill for I. Bush, with lithograph of store","Bill for I. Bush, with lithograph of store","Bush, Isidor",,,"St. Louis, MO",1874 March 20,Drawer,Mixed materials,Billheads Pre-1880,Folder,MO 941,doc_bhe_mo_941_1r.tif; doc_bhe_mo_941_1v.tif,,,,Billheads,"Bush, Isidor"
ref290,cid4641749,Documents,Billheads,"Buyer, Reich and Co. San Francisco, CA, Bill for Buyer, Reich and Co.: Fancy goods, zephyr worsted trimmings, and gilt and silver trimmings for theatrical and society use","Bill for Buyer, Reich and Co.: Fancy goods, zephyr worsted trimmings, and gilt and silver trimmings for theatrical and society use",,,"Buyer, Reich and Co.","San Francisco, CA",1878 March 18,Drawer,Mixed materials,Billheads Pre-1880,Folder,SF 797,doc_bhe_sf_797_1r.tif; doc_bhe_sf_797_1v.tif,,,,Billheads,
ref291,cid4641748,Documents,Billheads,"C. & H. Weil. Paducah, KY",,,,C. & H. Weil,"Paducah, KY",1884 July 1,Drawer,Mixed materials,Billheads Post-1880,Folder,KY 228,doc_bhl_ky_228_1r.tif; doc_bhl_ky_228_1v.tif,,,,Billheads,
ref292,cid4641747,Documents,Billheads,"C. B. Slingluff & Co. Baltimore, MD",,,,C. B. Slingluff & Co.,"Baltimore, MD",1860 April 18,Drawer,Mixed materials,Billheads Pre-1880,Folder,MD 914,doc_bhe_md_914_1r.tif; doc_bhe_md_914_1v.tif,,,,Billheads,
ref293,,Documents,Billheads,"C. H. Meyer & Brothers. San Francisco, CA, Billhead for C. H. Meyer and Brothers, sole agents for the golden gate standard waterproof oiled cloth","Billhead for C. H. Meyer and Brothers, sole agents for the golden gate standard waterproof oiled cloth",,,C. H. Meyer & Brothers,"San Francisco, CA",1884 April 1,,,,,,doc_bhl_sf_125_1r.tif; doc_bhl_sf_125_1v.tif,,,,Billheads,
ref294,cid4641746,Documents,Billheads,"C. Sunstein & Sons. Pittsburgh, PA",,,,C. Sunstein & Sons,"Pittsburgh, PA",1913 August 1,Drawer,Mixed materials,Billheads Post-1880,Folder,PITT 822,doc_bhl_pitt_822_1r.tif; doc_bhl_pitt_822_1v.tif,,,,Billheads,
ref295,cid4641745,Documents,Billheads,"Calman, Emil. New York, NY, Bill for Emil Calman, varnishes and japans","Bill for Emil Calman, varnishes and japans","Calman, Emil",,,"New York, NY",1864 February 6,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1090,doc_bhe_nyc_1090_1r.tif; doc_bhe_nyc_1090_1v.tif,,,,Billheads,"Calman, Emil"
ref296,cid4641744,Documents,Billheads,"Cardozo, I. D. Richmond, VA, Bill for Cardozo, Fourqurean and Co.: Dealers in dry goods","Bill for Cardozo, Fourqurean and Co.: Dealers in dry goods","Cardozo, I. D.",,,"Richmond, VA",1879 August 5,Drawer,Mixed materials,Billheads Pre-1880,Folder,VA 3039,doc_bhe_va_3039_1r.tif; doc_bhe_va_3039_1v.tif,,,,Billheads,"Cardozo, I. D."
ref297,cid4641743,Documents,Billheads,"Carlon, Hugh. Philadelphia, PA, Billhead for gas lights",Billhead for gas lights,"Carlon, Hugh",,,"Philadelphia, PA",1892 November 21,Drawer,Mixed materials,Mickve Israel,Folder,75,doc_ja_phil_mi_75_1r.tif; doc_ja_phil_mi_75_1v.tif,,,,Billheads,"Carlon, Hugh"
